FIPS,"County, State",2018 Food Insecurity Rate,# of Food Insecure Persons in 2018,2018 Child food insecurity rate,2018 Weighted Annual Food Budget Shortfall
6001,"Alameda County, California",0.091,150140,0.111,100781000
6003,"Alpine County, California",0.145,170,0.203,106000
6005,"Amador County, California",0.109,4110,0.175,2919000
6007,"Butte County, California",0.142,32300,0.203,18433000
6009,"Calaveras County, California",0.122,5510,0.203,4139000
6011,"Colusa County, California",0.138,2950,0.231,1675000
6013,"Contra Costa County, California",0.085,96040,0.116,61249000
6015,"Del Norte County, California",0.167,4570,0.251,2701000
6017,"El Dorado County, California",0.091,17040,0.134,12877000
6019,"Fresno County, California",0.152,148670,0.229,77333000
6021,"Glenn County, California",0.142,3970,0.202,2240000
6023,"Humboldt County, California",0.141,19190,0.196,10777000
6025,"Imperial County, California",0.192,34600,0.314,15890000
6027,"Inyo County, California",0.105,1900,0.144,1052000
6029,"Kern County, California",0.143,125870,0.216,64654000
6031,"Kings County, California",0.144,21690,0.211,11253000
6033,"Lake County, California",0.157,10050,0.231,6666000
6035,"Lassen County, California",0.125,3910,0.199,2568000
6037,"Los Angeles County, California",0.114,1146290,0.152,672171000
6039,"Madera County, California",0.132,20530,0.204,13794000
6041,"Marin County, California",0.074,19260,0.084,15025000
6043,"Mariposa County, California",0.134,2350,0.21,1282000
6045,"Mendocino County, California",0.135,11760,0.194,7022000
6047,"Merced County, California",0.15,40280,0.228,22131000
6049,"Modoc County, California",0.147,1310,0.242,746000
6051,"Mono County, California",0.085,1210,0.12,665000
6053,"Monterey County, California",0.105,45410,0.152,26475000
6055,"Napa County, California",0.079,11170,0.1,8273000
6057,"Nevada County, California",0.107,10570,0.159,8592000
6059,"Orange County, California",0.085,267730,0.112,159540000
6061,"Placer County, California",0.083,31530,0.116,20285000
6063,"Plumas County, California",0.136,2540,0.203,1496000
6065,"Riverside County, California",0.1,237800,0.146,126963000
6067,"Sacramento County, California",0.119,179860,0.169,101338000
6069,"San Benito County, California",0.075,4480,0.117,3336000
6071,"San Bernardino County, California",0.107,229400,0.155,120508000
6073,"San Diego County, California",0.096,316270,0.126,188159000
6075,"San Francisco County, California",0.102,88680,0.104,71842000
6077,"San Joaquin County, California",0.124,90590,0.179,49973000
6079,"San Luis Obispo County, California",0.092,25910,0.121,16465000
6081,"San Mateo County, California",0.068,52280,0.077,35204000
6083,"Santa Barbara County, California",0.095,42350,0.127,24684000
6085,"Santa Clara County, California",0.072,138050,0.08,89801000
6087,"Santa Cruz County, California",0.103,28230,0.14,19567000
6089,"Shasta County, California",0.142,25490,0.219,13960000
6091,"Sierra County, California",0.105,310,0.178,189000
6093,"Siskiyou County, California",0.161,7000,0.247,4120000
6095,"Solano County, California",0.1,43650,0.143,24504000
6097,"Sonoma County, California",0.09,45340,0.118,30682000
6099,"Stanislaus County, California",0.124,67100,0.182,37491000
6101,"Sutter County, California",0.138,13250,0.208,6516000
6103,"Tehama County, California",0.158,10000,0.243,5583000
6105,"Trinity County, California",0.161,2070,0.257,1174000
6107,"Tulare County, California",0.159,73140,0.239,38373000
6109,"Tuolumne County, California",0.128,6920,0.187,4759000
6111,"Ventura County, California",0.082,69710,0.114,40922000
6113,"Yolo County, California",0.106,22740,0.136,13583000
6115,"Yuba County, California",0.144,10870,0.213,5729000
