State,2009 Food Insecurity Rate,2010 Food Insecurity Rate,2011 Food Insecurity Rate,2012 Food Insecurity Rate,2013 Food Insecurity Rate,2014 Food Insecurity Rate,2015 Food Insecurity Rate,2016 Food Insecurity Rate,2017 Food Insecurity Rate,2018 Food Insecurity Rate,2019 Food Insecurity Rate
AK,0.135,0.146375624137762,0.14694528156210307,0.1396953171034481,0.14249141650751157,0.144,0.139,0.134,0.136,0.129,0.119
AL,0.178,0.19218656810923793,0.19497411894043817,0.1856959205710964,0.18800626101376952,0.188,0.177,0.165,0.163,0.17,0.161
AR,0.178,0.19181573422288975,0.19714232130318154,0.1943046951796987,0.19743033406062704,0.191,0.184,0.172,0.173,0.173,0.166
AZ,0.174,0.18973338008714732,0.1909045962941795,0.1784716144877622,0.17526118880443495,0.171,0.158,0.149,0.14,0.131,0.126
CA,0.167,0.17144897491290548,0.1742668294460626,0.16244368311075583,0.14952682084228167,0.139,0.125,0.117,0.11,0.108,0.102
CO,0.143,0.15515329453675736,0.1554292959891307,0.14568058875984996,0.13914748156307258,0.129,0.122,0.113,0.106,0.099,0.098
CT,0.123,0.13782777147684713,0.1453203820807555,0.13883337738664256,0.135800649596227,0.131,0.122,0.116,0.113,0.119,0.12
DC,0.158,0.16459509672381475,0.15715312073217302,0.14476778481883468,0.14995769194476286,0.138,0.126,0.124,0.11,0.116,0.1
DE,0.122,0.12774389871178046,0.1323066577742012,0.13030317569011615,0.13212004549829381,0.126,0.121,0.12,0.122,0.126,0.117
FL,0.171,0.19153731140670177,0.18674548900377605,0.17850176585375552,0.16956854393679494,0.162,0.151,0.139,0.134,0.13,0.12
GA,0.178,0.19937736465063324,0.200234126422155,0.1889718138558228,0.18732573224606835,0.177,0.162,0.151,0.144,0.125,0.12
HI,0.127,0.139554905651937,0.14554738472952627,0.14169227752667682,0.13812859049580714,0.137,0.128,0.118,0.113,0.112,0.115
IA,0.128,0.13386743032437637,0.1291900980599933,0.12677502272146188,0.12595391688368168,0.124,0.12,0.115,0.109,0.097,0.094
ID,0.158,0.1703013140729899,0.1730174102594031,0.1579592512007059,0.1555886103901904,0.147,0.14,0.132,0.123,0.108,0.1
IL,0.147,0.15047535786736696,0.15210277452648982,0.14242902373584057,0.13624915435213183,0.129,0.117,0.11,0.109,0.101,0.096
IN,0.162,0.16177650797974494,0.16326572575212653,0.15658523795785867,0.1541599616004013,0.153,0.144,0.137,0.133,0.132,0.124
KS,0.143,0.1498652230770549,0.15089658189254948,0.1479085416879627,0.1448984901987141,0.142,0.132,0.129,0.127,0.127,0.121
KY,0.168,0.17265855334211022,0.17153328774309073,0.16676045534498443,0.16434164259736833,0.168,0.158,0.155,0.149,0.148,0.144
LA,0.146,0.16718791398671018,0.17147062758096684,0.16910432293840819,0.16812345556235367,0.173,0.169,0.167,0.165,0.161,0.155
MA,0.112,0.12299050791688106,0.12294733569577457,0.11883582420122103,0.11468253161893993,0.111,0.103,0.096,0.09,0.089,0.082
MD,0.116,0.1279367962084915,0.13403590659282683,0.13139463372216426,0.12775404996682305,0.127,0.114,0.111,0.107,0.11,0.106
ME,0.151,0.14934086189246945,0.1570711375196885,0.15498137214187266,0.15515296973128098,0.153,0.148,0.138,0.129,0.129,0.124
MI,0.182,0.18959918700685005,0.17919770048906528,0.16796413365495136,0.16405335612051472,0.157,0.151,0.142,0.137,0.136,0.13
